Infected, Healthy
1,9999
1,9999
93,9907
677,9323
1228,8772
1721,8279
2192,7808
2643,7357
3039,6961
3454,6546
3865,6135
4283,5717
4598,5402
4937,5063
5205,4795
5479,4521
5715,4285
5949,4051
6182,3818
6415,3585
6640,3360
6816,3184
6985,3015
7189,2811
7338,2662
7501,2499
7639,2361
7785,2215
7890,2110
8022,1978
8140,1860
8260,1740
8383,1617
8475,1525
8568,1432
8658,1342
8736,1264
8803,1197
8887,1113
8955,1045
9013,987
9084,916
9142,858
9191,809
9236,764
9289,711
9323,677
9356,644
9385,615
9417,583
9444,556
9479,521
9523,477
9544,456
9570,430
9586,414
9614,386
9631,369
9657,343
9682,318
9702,298
9719,281
9739,261
9750,250
9762,238
9781,219
9791,209
9796,204
9804,196
9814,186
9825,175
9833,167
9843,157
9863,137
9872,128
9880,120
9884,116
9889,111
9896,104
9899,101
9903,97
9909,91
9913,87
9915,85
9917,83
9921,79
9925,75
9926,74
9929,71
9932,68
9934,66
9941,59
9946,54
9948,52
9950,50
9951,49
9954,46
9956,44
9962,38
9964,36
9965,35
9968,32
9970,30
9971,29
9972,28
9973,27
9974,26
9975,25
9976,24
9978,22
9979,21
9981,19
9981,19
9983,17
9983,17
9984,16
9984,16
9985,15
9985,15
9985,15
9986,14
