Infected, Healthy
1,9999
1,9999
72,9928
556,9444
992,9008
1454,8546
1865,8135
2241,7759
2616,7384
2976,7024
3333,6667
3666,6334
3973,6027
4291,5709
4560,5440
4838,5162
5096,4904
5313,4687
5543,4457
5791,4209
5996,4004
6215,3785
6394,3606
6569,3431
6731,3269
6905,3095
7093,2907
7230,2770
7374,2626
7516,2484
7643,2357
7753,2247
7866,2134
7965,2035
8059,1941
8160,1840
8233,1767
8317,1683
8403,1597
8496,1504
8588,1412
8661,1339
8730,1270
8781,1219
8837,1163
8901,1099
8949,1051
8999,1001
9045,955
9102,898
9144,856
9200,800
9239,761
9274,726
9307,693
9341,659
9382,618
9416,584
9444,556
9467,533
9492,508
9521,479
9542,458
9571,429
9590,410
9604,396
9628,372
9637,363
9651,349
9668,332
9684,316
9696,304
9712,288
9731,269
9750,250
9764,236
9775,225
9788,212
9796,204
9805,195
9817,183
9828,172
9839,161
9845,155
9850,150
9857,143
9863,137
9866,134
9876,124
9882,118
9890,110
9894,106
9902,98
9905,95
9911,89
9913,87
9917,83
9921,79
9924,76
9930,70
9933,67
9933,67
9933,67
9938,62
9943,57
9945,55
9947,53
9949,51
9952,48
9957,43
9960,40
9964,36
9965,35
9967,33
9968,32
9970,30
9972,28
9973,27
9974,26
9975,25
9975,25
