Infected, Healthy
1,9999
1,9999
67,9933
514,9486
1023,8977
1504,8496
1918,8082
2322,7678
2714,7286
3081,6919
3405,6595
3725,6275
4069,5931
4364,5636
4634,5366
4887,5113
5142,4858
5412,4588
5630,4370
5843,4157
6041,3959
6224,3776
6417,3583
6583,3417
6738,3262
6920,3080
7074,2926
7240,2760
7377,2623
7520,2480
7638,2362
7762,2238
7885,2115
8008,1992
8120,1880
8223,1777
8299,1701
8393,1607
8460,1540
8536,1464
8611,1389
8677,1323
8733,1267
8795,1205
8865,1135
8929,1071
8981,1019
9034,966
9088,912
9127,873
9172,828
9210,790
9246,754
9286,714
9317,683
9350,650
9377,623
9409,591
9439,561
9470,530
9494,506
9516,484
9544,456
9562,438
9588,412
9604,396
9621,379
9635,365
9656,344
9661,339
9683,317
9694,306
9712,288
9721,279
9731,269
9746,254
9759,241
9776,224
9782,218
9787,213
9796,204
9805,195
9817,183
9820,180
9823,177
9832,168
9838,162
9844,156
9851,149
9857,143
9865,135
9870,130
9874,126
9882,118
9885,115
9890,110
9893,107
9896,104
9905,95
9909,91
9914,86
9917,83
9924,76
9929,71
9934,66
9935,65
9938,62
9944,56
9947,53
9948,52
9950,50
9953,47
9955,45
9956,44
9958,42
9960,40
9963,37
9965,35
9970,30
9972,28
9975,25
